"","casos_confirm","casos_sospe","casos_nega","defun_covid","pob_des","pob_sub","pob_ocu","trab_ind","consulta_extot","proce_med","med_diag","def_par","exa_med_diag","egresos","gast_tot","alimentos_beb_tab","cuidado_salud","transporte","ingreso_trabajo","ingreso_renta","transferencias","alquiler_viv","Indice"
"1",17999,7767,31218,1613,27919,32113,584169,109816,16980,21444,4544,17860,6902,31188,35404,12303,1647,7661,39140,3157,9878,6055,-0.0687165302591093
"2",37434,30843,23140,6626,44568,91375,1668617,353285,732758,37560,328085,273,1157400,81262,37058,11954,1172,8315,46792,2861,9502,8636,0.100975168265903
"3",18168,2104,32825,842,21634,65050,379710,86849,42343,3483,31992,510,109007,6736,35823,12812,1149,7308,40901,4197,9862,9219,-0.102410841650622
"4",7536,3846,12358,1049,13846,64025,403589,126087,115297,3569,97909,74,222756,5642,28562,10846,1288,5400,29830,2401,9030,5960,-0.101929989683196
"5",8513,30001,9063,1329,85324,125902,1312527,261373,151650,22668,474437,72,817032,39269,32333,10320,1130,6784,38245,1927,9678,5781,0.0169442457263084
"6",39866,3941,25079,5772,13294,36646,348915,74516,8490,9000,14008,293,43613,12746,34697,13038,1403,7176,35700,3341,11943,5266,-0.0263814815857977
"7",362275,49074,686639,20908,60305,288048,2010616,838497,213365,20445,79577,77,147647,37844,19452,8069,988,3015,18421,1105,6041,3596,0.651539029144672
"8",53005,10941,56853,4721,68875,151866,1671343,343482,281280,42126,353206,257,675734,69706,27852,9728,766,6059,39425,5832,8408,6556,0.0054485024665642
"9",8025,1802,7438,820,264798,722773,3904959,952141,2194866,145279,2248267,1152,7505133,237732,37771,14887,1482,5724,39435,2512,12151,13200,-0.114354688156934
"10",26390,3371,28372,1818,36551,82093,763926,200599,48240,10768,90050,2500,95317,20367,28922,10561,1046,5725,30088,5719,9946,4562,-0.0818353854555534
"11",86268,11257,94773,6112,137157,447331,2528526,592516,567531,58151,350483,219,653497,109965,28331,11342,967,4716,33314,1253,8105,5703,0.048287950432084
"12",26717,2218,21871,2929,36796,140665,1480653,602177,198539,9968,79046,892,141904,39057,21846,9480,1225,3665,20044,816,8239,3391,-0.0749937062669236
"13",25064,4928,18167,3637,31396,179816,1255979,365711,254317,19200,92809,186,164783,44308,24584,9718,1617,4390,26316,1123,7876,4754,-0.0563021363241139
"14",54952,16487,60077,6946,152977,335433,3670739,872640,1100126,125002,811115,301,2002660,200251,35220,13375,1404,6600,36592,3533,9424,6114,0.0577496469175129
"15",161809,56530,210710,23961,456251,1011573,7023505,1786709,1754596,95948,705439,1812,1866527,207825,30463,12633,937,5960,32183,2961,7044,7402,0.520805756139643
"16",34490,2223,44209,3058,47819,233795,1959364,615516,393104,51018,139248,1532,357630,91830,32281,12384,1875,5841,29820,3417,8545,4593,-0.064966308357851
"17",11437,4258,14311,1865,20406,61648,839645,252015,144087,14101,38256,855,46401,23361,26778,10875,1182,5005,25805,1577,8981,5623,-0.0880739187587656
"18",8016,5909,6470,1112,27436,99248,608821,177983,5118,2226,4582,141,8845,6462,31628,12713,1427,6340,31307,3644,12047,4923,-0.0929532248748841
"19",85561,14517,82776,6507,118955,232500,2562896,545799,1429760,93330,1438385,63,3090453,120645,36650,11845,1439,7147,44717,6236,11673,10270,0.0646332001385156
"20",29738,3326,12791,2460,39171,341494,1788244,732847,244758,15012,84653,1421,199739,33143,21684,9326,1346,3434,23059,1642,7140,4398,-0.0757471207585692
"21",50728,8604,60984,6793,130701,381133,2768346,845405,296880,49869,250983,283,470248,89433,26162,10223,1499,4362,25272,1325,7798,5176,0.0190029993533968
"22",34335,3480,30964,2286,61141,50678,927796,236154,285457,30731,219352,720,595720,45414,36361,13012,1557,6652,38953,3305,9747,8404,-0.0711196162535754
"23",16115,4256,14278,2104,60669,124403,803423,196613,162729,8648,115905,290,269824,15450,29246,11466,836,5486,30423,2504,6693,6676,-0.0827893126814984
"24",42131,3759,53126,3481,38075,165676,1202355,324986,193820,26107,196191,90,409863,51371,28682,10628,1366,5050,31312,1847,9088,5512,-0.0473975654012282
"25",27662,6772,26248,4725,45979,118178,1276346,310220,108992,26374,141262,681,320391,43751,34112,11484,2125,6835,34259,3823,11978,5702,-0.0324238980389944
"26",56700,6258,38895,5244,72565,130761,1306139,273440,153707,22397,142186,354,267171,37361,32807,10923,1167,6620,37823,4443,11457,7529,-0.010654640694008
"27",44731,6650,69863,3368,66436,165241,904227,267464,64365,13212,68444,320,257765,19240,22805,9669,886,4322,26546,1266,8144,5644,-0.031291015086662
"28",42166,5771,55277,3707,54434,289620,1551816,369830,219524,36641,269276,155,528425,56439,28118,9969,1120,6090,32785,3489,8167,5222,-0.0354084953901105
"29",11863,1621,23258,1530,31665,120923,564622,157206,104336,9662,9038,615,9138,14226,24052,9607,1071,4096,25875,1200,6260,4555,-0.101702307924293
"30",44865,8531,33607,7333,98548,565768,3236144,1077482,371660,42246,440306,465,943925,74339,23586,9064,1227,4123,22009,1019,7588,4447,0.0165615959585722
"31",26832,6479,33772,2838,30664,152400,1097760,301332,92189,14079,153628,657,661689,22230,29100,12197,1517,5159,28731,2202,10132,5656,-0.0548347913057481
"32",21487,3168,18146,1961,26009,114726,661149,179704,81174,15158,121002,310,170266,24539,27877,10553,1462,5306,27056,3667,9455,4208,-0.0856611196347346
